"Adresse","Häufigkeit","Indexierbarkeit","Indexierbarkeitsstatus","Canonical-Linkelement 1","HTTP-Canonical","Meta Robots 1","X-Robots-Tag 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1"
"https://www.delst.de/de/delst-foerderung/","1","Indexierbar","","https://www.delst.de/de/delst-foerderung/","","index,follow","","","","",""
"https://www.delst.de/de/steuern-sparen/","1","Indexierbar","","https://www.delst.de/de/steuern-sparen/","","index,follow","","","","",""
"https://www.delst.de/de/studieninfos/foerdermoeglichkeiten/qualifizierungschancengesetz/","1","Indexierbar","","https://www.delst.de/de/studieninfos/foerdermoeglichkeiten/qualifizierungschancengesetz/","","index,follow","","","","",""
"https://www.delst.de/de/kurzarbeit/","1","Indexierbar","","https://www.delst.de/de/kurzarbeit/","","index,follow","","","","",""
"https://www.delst.de/de/aufstiegs-bafoeg/","1","Indexierbar","","https://www.delst.de/de/aufstiegs-bafoeg/","","index,follow","","","","",""
"https://www.delst.de/de/weitere-foerderprogramme/","1","Indexierbar","","https://www.delst.de/de/weitere-foerderprogramme/","","index,follow","","","","",""
"https://www.delst.de/de/bildungsgutschein/","1","Indexierbar","","https://www.delst.de/de/bildungsgutschein/","","index,follow","","","","",""
"https://www.delst.de/de/zuschuss-der-bundeslaender/","1","Indexierbar","","https://www.delst.de/de/zuschuss-der-bundeslaender/","","index,follow","","","","",""
"https://www.delst.de/de/lehrgaenge-reiten/futtermittelberater-ausbildung-richtige-pferdefuetterung/","1","Indexierbar","","https://www.delst.de/de/lehrgaenge-reiten/futtermittelberater-ausbildung-richtige-pferdefuetterung/","","index,follow","","","","",""
"https://www.delst.de/de/lehrgaenge-reiten/reitlehrerin-ausbildung/","1","Indexierbar","","https://www.delst.de/de/lehrgaenge-reiten/reitlehrerin-ausbildung/","","index,follow","","","","",""
"https://www.delst.de/de/lehrgaenge-reiten/reiten-c-lizenz/","1","Indexierbar","","https://www.delst.de/de/lehrgaenge-reiten/reiten-c-lizenz/","","index,follow","","","","",""
"https://www.delst.de/de/ihk-weiterbildung/master-professional-betriebswirt/","1","Indexierbar","","https://www.delst.de/de/ihk-weiterbildung/master-professional-betriebswirt/","","index,follow","","","","",""
"https://www.delst.de/de/studieninfos/foerdermoeglichkeiten/bildungsgutschein-azav/azav-fernstudiengaenge/gepruefter-betriebswirt-azav-bildungsgutschein/","1","Nicht indexierbar","Canonicalised","https://www.delst.de/de/ihk-weiterbildung/gepruefter-betriebswirt-ihk-fernstudium/","","index,follow","","","","",""
"https://www.delst.de/de/bundeswehr-weiterbildung/","1","Indexierbar","","https://www.delst.de/de/bundeswehr-weiterbildung/","","index,follow","","","","",""
"https://www.delst.de/de/weiterbildung-arbeitsamt/ihk-industriefachwirt-weiterbildung-bildungsgutschein/","1","Indexierbar","","https://www.delst.de/de/weiterbildung-arbeitsamt/ihk-industriefachwirt-weiterbildung-bildungsgutschein/","","index,follow","","","","",""
"https://www.delst.de/de/anmeldung/fernstudium/?product=industriefachwirt-ihk-fernstudium","1","Nicht indexierbar","Canonicalised,noindex","https://www.delst.de/de/anmeldung/fernstudium/","","noindex,nofollow","","","","",""
