"Adresse","Häufigkeit","H1-1","Länge von H1-1","H1-2","Länge von H1-2","Indexierbarkeit","Indexierbarkeitsstatus"
"https://www.delst.de/de/weitere-foerderprogramme/","1","Weitere Förderprogramme.","24","","0","Indexierbar",""
"https://www.delst.de/de/bildungsgutschein/","1","Förderung durch Bildungsgutschein.","34","","0","Indexierbar",""
"https://www.delst.de/de/zuschuss-der-bundeslaender/","1","Zuschuss der Bundesländer.","26","","0","Indexierbar",""
"https://www.delst.de/de/lehrgaenge-reiten/futtermittelberater-ausbildung-richtige-pferdefuetterung/","1","Futtermittelberater für Pferde | Fernstudium","44","","0","Indexierbar",""
"https://www.delst.de/de/lehrgaenge-reiten/reitlehrerin-ausbildung/","1","Reitlehrer | Ausbildung","23","","0","Indexierbar",""
"https://www.delst.de/de/lehrgaenge-reiten/reiten-c-lizenz/","1","Reiten C-Lizenz | Fernstudium","29","","0","Indexierbar",""
"https://www.delst.de/de/ihk-weiterbildung/master-professional-betriebswirt/","1","Master Professional in Business Management | Fernstudium","56","","0","Indexierbar",""
"https://www.delst.de/de/studieninfos/foerdermoeglichkeiten/bildungsgutschein-azav/azav-fernstudiengaenge/gepruefter-betriebswirt-azav-bildungsgutschein/","1","Betriebswirt*in IHK | Fernstudium","33","","0","Nicht indexierbar","Canonicalised"
"https://www.delst.de/de/bundeswehr-weiterbildung/","1","Beförderungsdienst der Bundeswehr (BFD).","40","","0","Indexierbar",""
"https://www.delst.de/de/weiterbildung-arbeitsamt/ihk-industriefachwirt-weiterbildung-bildungsgutschein/","1","Geprüfte*r Industriefachwirt*in IHK | Fernstudium","49","","0","Indexierbar",""
"https://www.delst.de/de/anmeldung/fernstudium/?product=industriefachwirt-ihk-fernstudium","1","Geprüfter Industriefachwirt (IHK)","33","","0","Nicht indexierbar","Canonicalised,noindex"
"https://www.delst.de/de/ihk-weiterbildung/wirtschaftsbezogene-qualifikationen-ihk/","1","Wirtschaftsbezogene Qualifikationen | Weiterbildung","51","","0","Indexierbar",""
"https://www.delst.de/de/weiterbildung-arbeitsamt/prozessmanager-digitale-transformation/","1","Prozessmanager*in Digitale Transformation | Fernstudium","55","","0","Nicht indexierbar","noindex"
"https://www.delst.de/de/weiterbildung-arbeitsamt/gepruefter-betriebswirt/","1","Geprüfte*r Betriebswirt*in | Fernstudium","40","","0","Nicht indexierbar","Canonicalised,noindex"
"https://www.delst.de/de/weiterbildung-arbeitsamt/online-marketing-manager/","1","Online Marketing Manager*in | Fernstudium","41","","0","Nicht indexierbar","noindex"
"https://www.delst.de/de/weiterbildung-arbeitsamt/qualitaetsmanager/","1","Qualitätsmanager*in | Fernstudium","33","","0","Nicht indexierbar","noindex"
"https://www.delst.de/de/weiterbildung-arbeitsamt/arbeiten-4-0/","1","Arbeiten 4.0 | Online","21","","0","Nicht indexierbar","noindex"
"https://www.delst.de/de/weiterbildung-arbeitsamt/betriebliche-ausbildung/","1","Betriebliche Ausbildung | Online","32","","0","Nicht indexierbar","noindex"
"https://www.delst.de/de/weiterbildung-arbeitsamt/wissens-und-transfermanager-4-0/","1","Wissens- und Transfermanager*in 4.0 | Fernstudium","49","","0","Nicht indexierbar","noindex"
"https://www.delst.de/de/weiterbildung-arbeitsamt/gepruefter-wirtschaftsfachwirt-ihk-inkl-ada-schein/","1","Geprüfte*r Wirtschaftsfachwirt*in (IHK) inkl. AdA-Schein | Fernstudium","70","","0","Nicht indexierbar","Canonicalised,noindex"
"https://www.delst.de/de/weiterbildung-arbeitsamt/vorbereitung-externenpruefung-kauffrau-kaufmann-fuer-bueromanagement-ihk-bildungsgutschein/","1","Vorbereitung auf die Externenprüfung Kaufmann*frau für Büromanagement (IHK) | Fernstudium","89","","0","Nicht indexierbar","Canonicalised"
"https://www.delst.de/de/weiterbildung-arbeitsamt/datenschutzmanager/","1","Datenschutzmanager*in | Fernstudium","35","","0","Nicht indexierbar","noindex"
"https://www.delst.de/de/weiterbildung-arbeitsamt/gepruefter-manager-im-gesundheits-und-sozialwesen-4-0/","1","Geprüfte*r Manager*in im Gesundheits- und Sozialwesen 4.0 | Fernstudium","71","","0","Nicht indexierbar","Canonicalised,noindex"
"https://www.delst.de/de/weiterbildung-arbeitsamt/gepruefter-technischer-betriebswirt/","1","Geprüfte*r technische*r Betriebswirt*in | Fernstudium","53","","0","Nicht indexierbar","Canonicalised,noindex"
